name	shape	dtype	params	mean	std	min	max
base_model.model.model.layers.7.mlp.gate_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000385	0.019497	-0.035634	+0.036745
base_model.model.model.layers.7.mlp.gate_proj.lora_B.weight	(4864, 16)	torch.float32	77824	-0.000002	0.001354	-0.004473	+0.004500
base_model.model.model.layers.7.mlp.up_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000139	0.019529	-0.036736	+0.035892
base_model.model.model.layers.7.mlp.up_proj.lora_B.weight	(4864, 16)	torch.float32	77824	+0.000003	0.001321	-0.004219	+0.004086
base_model.model.model.layers.7.self_attn.k_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000050	0.019380	-0.035893	+0.036192
base_model.model.model.layers.7.self_attn.k_proj.lora_B.weight	(128, 16)	torch.float32	2048	+0.000065	0.001153	-0.003194	+0.003455
base_model.model.model.layers.7.self_attn.o_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000096	0.019487	-0.036411	+0.037192
base_model.model.model.layers.7.self_attn.o_proj.lora_B.weight	(896, 16)	torch.float32	14336	+0.000019	0.001358	-0.004333	+0.004016
base_model.model.model.layers.7.self_attn.q_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000061	0.019490	-0.035381	+0.036156
base_model.model.model.layers.7.self_attn.q_proj.lora_B.weight	(896, 16)	torch.float32	14336	+0.000010	0.001221	-0.003846	+0.003596
base_model.model.model.layers.7.self_attn.v_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000181	0.019284	-0.035650	+0.036028
base_model.model.model.layers.7.self_attn.v_proj.lora_B.weight	(128, 16)	torch.float32	2048	-0.000010	0.001218	-0.003770	+0.003487
base_model.model.model.layers.8.mlp.down_proj.lora_A.weight	(16, 4864)	torch.float32	77824	+0.000018	0.008431	-0.018186	+0.017621
base_model.model.model.layers.8.mlp.down_proj.lora_B.weight	(896, 16)	torch.float32	14336	-0.000020	0.001340	-0.004234	+0.004183
base_model.model.model.layers.8.mlp.gate_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000079	0.019554	-0.036386	+0.036455
base_model.model.model.layers.8.mlp.gate_proj.lora_B.weight	(4864, 16)	torch.float32	77824	+0.000002	0.001359	-0.004596	+0.004655
base_model.model.model.layers.8.mlp.up_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000282	0.019423	-0.035732	+0.036213
base_model.model.model.layers.8.mlp.up_proj.lora_B.weight	(4864, 16)	torch.float32	77824	+0.000003	0.001338	-0.004223	+0.004209
base_model.model.model.layers.8.self_attn.k_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000085	0.019219	-0.036587	+0.035992
base_model.model.model.layers.8.self_attn.k_proj.lora_B.weight	(128, 16)	torch.float32	2048	-0.000008	0.001387	-0.003510	+0.003745
base_model.model.model.layers.8.self_attn.o_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000120	0.019396	-0.036899	+0.036026
base_model.model.model.layers.8.self_attn.o_proj.lora_B.weight	(896, 16)	torch.float32	14336	+0.000007	0.001392	-0.004498	+0.004117
base_model.model.model.layers.8.self_attn.q_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000085	0.019372	-0.036792	+0.035944
base_model.model.model.layers.8.self_attn.q_proj.lora_B.weight	(896, 16)	torch.float32	14336	+0.000006	0.001269	-0.003867	+0.003954
base_model.model.model.layers.8.self_attn.v_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000251	0.019344	-0.035891	+0.036258
base_model.model.model.layers.8.self_attn.v_proj.lora_B.weight	(128, 16)	torch.float32	2048	+0.000014	0.001275	-0.004162	+0.003738
base_model.model.model.layers.9.mlp.down_proj.lora_A.weight	(16, 4864)	torch.float32	77824	-0.000064	0.008413	-0.017879	+0.017693
base_model.model.model.layers.9.mlp.down_proj.lora_B.weight	(896, 16)	torch.float32	14336	-0.000002	0.001381	-0.004543	+0.004348
base_model.model.model.layers.9.mlp.gate_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000114	0.019556	-0.036549	+0.035816
base_model.model.model.layers.9.mlp.gate_proj.lora_B.weight	(4864, 16)	torch.float32	77824	-0.000005	0.001367	-0.004680	+0.004210
base_model.model.model.layers.9.mlp.up_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000367	0.019229	-0.036011	+0.036402
base_model.model.model.layers.9.mlp.up_proj.lora_B.weight	(4864, 16)	torch.float32	77824	+0.000000	0.001334	-0.004253	+0.004479
base_model.model.model.layers.9.self_attn.k_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000162	0.019406	-0.036712	+0.036666
base_model.model.model.layers.9.self_attn.k_proj.lora_B.weight	(128, 16)	torch.float32	2048	+0.000005	0.001431	-0.003961	+0.004015
base_model.model.model.layers.9.self_attn.o_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000131	0.019486	-0.036424	+0.036273
base_model.model.model.layers.9.self_attn.o_proj.lora_B.weight	(896, 16)	torch.float32	14336	+0.000003	0.001396	-0.004202	+0.004594
base_model.model.model.layers.9.self_attn.q_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000063	0.019174	-0.035581	+0.036195
base_model.model.model.layers.9.self_attn.q_proj.lora_B.weight	(896, 16)	torch.float32	14336	-0.000002	0.001407	-0.004853	+0.004345
base_model.model.model.layers.9.self_attn.v_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000142	0.019325	-0.036719	+0.036393
base_model.model.model.layers.9.self_attn.v_proj.lora_B.weight	(128, 16)	torch.float32	2048	+0.000015	0.001281	-0.003550	+0.003495
